timestamp_ms,state,rawMoist,moist_pct,on_thresh,temp_c,humidity_pct,vpd_kpa,dht_ok,pump_on,water_raw,water_present
14742120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,890,1
14743120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14744120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14745120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14746121,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,1,0,890,1
14747120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14748120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14749120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,890,1
14750120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,890,1
14751120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14752120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14753121,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,1,0,890,1
14754120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,890,1
14755120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14756120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14757120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14758120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14759120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14760121,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,1,0,891,1
14761120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14762120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14763120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14764120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,890,1
14765120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14766120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14767121,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,1,0,890,1
14768120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14769120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
14770120,WaterLoop,361,0.37,0.35,23.0,40.0,1.686,0,0,891,1
